CIAD,Uso,Código OACI,Nome,Município,UF,Município Servido,UF Servido,longitude,latitude,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,AntesLongitude,AntesLatitude
AL0008,Privado,SNGS,Aeroclube de Alagoas,MACEIÓ,Alagoas,,,-35.7577777777800,-9.5875,"90,00",VFR,Sem Operação,14/32,"800,00","21,00",8/F/C/Y/U,Asfalto,,,,,,,01/10/2023,PA2013-2545,https://pergamum.anac.gov.br/arquivos/PA2013-2545.pdf,"035°45'28.0W""","09°35'15.0S"""
AL0009,Privado,SNML,Manduca Leão,RIO LARGO,Alagoas,,,-35.8247222222200,-9.54416666666667,"123,00",VFR,Sem Operação,11/29,"1.110,00","23,00",5600 Kg / 0.50 MPa,Asfalto,,,,,,,23/06/2026,PA2016-1567,https://pergamum.anac.gov.br/arquivos/PA2016-1567.pdf,"035°49'29.0W""","09°32'39.0S"""
AL0010,Privado,SNOV,Povoado de Camaçari,CORURIPE,Alagoas,,,-36.2916666666700,-10.1222222222222,"85,00",VFR,Sem Operação,13/31,"600,00","18,00",3000 Kg / 0.50 MPa,Piçarra,,,,,,,21/12/2021,PA2017-3240,https://pergamum.anac.gov.br/arquivos/PA2017-3240.pdf,"036°17'30.0W""","10°07'20.0S"""
AL0011,Privado,SNUP,Usina Porto Rico,CAMPO ALEGRE,Alagoas,,,-36.2225000000000,-9.80277777777778,"123,00",VFR,Sem Operação,13/31,"800,00","30,00",5600 Kg / 0.50 MPa,Cascalho,,,,,,,24/10/2022,PA2012-2234,https://pergamum.anac.gov.br/arquivos/PA2012-2234.pdf,"036°13'21.0W""","09°48'10.0S"""
AL0012,Privado,SNUZ,Usina Coruripe,CORURIPE,Alagoas,,,-36.1866666666700,-10.0938888888889,"64,00",VFR,Sem Operação,17/35,"900,00","20,00",5700 Kg / 0.50 MPa,Piçarra,,,,,,,26/10/2021,PA2017-2410,https://pergamum.anac.gov.br/arquivos/PA2017-2410.pdf,"036°11'12.0W""","10°05'38.0S"""
AL0013,Privado,SNZZ,Muzzi,CORURIPE,Alagoas,,,-36.1987500000000,-9.96813888888889,"101,00",VFR,Sem Operação,13/31,"800,00","18,00",3000 Kg / 0.50 MPa,Piçarra,,,,,,,10/03/2024,PA2017-2389,https://pergamum.anac.gov.br/arquivos/PA2017-2389.pdf,"036°11'55.5W""","09°58'05.3S"""
AL0022,Privado,SJPV,Reserva Pituba,CORURIPE,Alagoas,,,-36.0900000000000,-10.0863888888889,"40,00",VFR,Sem Operação,08/26,"1.452,00","24,00",5700 Kg / 0.50 MPa,Terra,,,,,,,17/01/2030,PA2019-135,https://pergamum.anac.gov.br/arquivos/PA2019-135.pdf,"036°05'24.0W""","10°05'11.0S"""
AM0001,Público,SBEG,Eduardo Gomes,MANAUS,Amazonas,Manaus,Amazonas,-60.0505555555600,-3.04111111111111,"80,00",VFR / IFR - CAT I,VFR / IFR - CAT I,11/29,"2.700,00","45,00",71/F/C/X/T,Asfalto,,,,,,Cadastrado,17/07/2022,PA2012-1425,https://pergamum.anac.gov.br/arquivos/PA2012-1425.pdf,"060°03'02.0W""","03°02'28.0S"""
AM0002,Público,SWFN,Flores,MANAUS,Amazonas,Manaus,Amazonas,-60.0211111111100,-3.07277777777778,"62,00",VFR,,11/29,"830,00","30,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,10/05/2027,PA2017-1581,https://pergamum.anac.gov.br/arquivos/PA2017-1581.pdf,"060°01'16.0W""","03°04'22.0S"""
AM0003,Público,SBUA,São Gabriel da Cachoeira,SÃO GABRIEL DA CACHOEIRA,Amazonas,São Gabriel da Cachoeira,Amazonas,-66.9858333333300,-0.148055555555556,"76,00",VFR / IFR Não Precisão,Sem Operação,05/23,"2.600,00","45,00",47/F/C/X/U,Asfalto,,,,,,Cadastrado,05/05/2030,PA2020-1183,https://pergamum.anac.gov.br/arquivos/PA2020-1183.pdf,"066°59'09.0W""","00°08'53.0S"""
AM0004,Público,SBTF,Tefé,TEFÉ,Amazonas,Tefé,Amazonas,-64.7252777777800,-3.38027777777778,"57,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,"2.200,00","45,00",29/F/C/X/U,Asfalto,,,,,,Cadastrado,13/11/2027,PA2017-3681,https://pergamum.anac.gov.br/arquivos/PA2017-3681.pdf,"064°43'31.0W""","03°22'49.0S"""
AM0005,Público,SBTT,Tabatinga,TABATINGA,Amazonas,Tabatinga,Amazonas,-69.9377777777800,-4.25055555555556,"85,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,"2.150,00","45,00",33/F/D/X/U,Asfalto,,,,,,Cadastrado,,PD1990-0325,https://pergamum.anac.gov.br/arquivos/PD1990-0325.pdf,"069°56'16.0W""","04°15'02.0S"""
AM0006,Público,SWPI,Parintins,PARINTINS,Amazonas,Parintins,Amazonas,-56.7711111111100,-2.66944444444444,"26,00",VFR,VFR,06/24,"1.800,00","30,00",33/F/B/X/T,Asfalto,,,,,,Cadastrado,30/07/2025,PA2015-2014,https://pergamum.anac.gov.br/arquivos/PA2015-2014.pdf,"056°46'16.0W""","02°40'10.0S"""
AM0007,Público,SWCA,Carauari,CARAUARI,Amazonas,Carauari,Amazonas,-66.8975000000000,-4.87138888888889,"108,00",VFR,Sem Operação,04/22,"1.665,00","18,00",12/F/C/Y/T,Asfalto,,,,,,Cadastrado,06/09/2027,PA2017-3045,https://pergamum.anac.gov.br/arquivos/PA2017-3045.pdf,"066°53'51.0W""","04°52'17.0S"""
AM0009,Público,SWEI,Eirunepé,EIRUNEPÉ,Amazonas,Eirunepé,Amazonas,-69.8830555555600,-6.6375,"122,00",VFR,Sem Operação,16/34,"2.300,00","45,00",30/F/C/X/U,Asfalto,,,,,,Cadastrado,06/09/2029,PA2019-2711,https://pergamum.anac.gov.br/arquivos/PA2019-2711.pdf,"069°52'59.0W""","06°38'15.0S"""
AM0010,Público,SWKO,Coari,COARI,Amazonas,Coari,Amazonas,-63.1311111111100,-4.13388888888889,"40,00",VFR,Sem Operação,10/28,"1.600,00","36,00",29/F/C/X/U,Asfalto,,,,,,Cadastrado,10/05/2026,PA2016-1115,https://pergamum.anac.gov.br/arquivos/PA2016-1115.pdf,"063°07'52.0W""","04°08'02.0S"""
AM0011,Público,SWNK,Novo Campo,BOCA DO ACRE,Amazonas,Boca do Acre,Amazonas,-67.3122222222200,-8.83361111111111,"120,00",VFR,Sem Operação,18/36,"1.600,00","33,00",19/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1996-0085,https://pergamum.anac.gov.br/arquivos/PD1996-0085.pdf,"067°18'44.0W""","08°50'01.0S"""
AM0012,Público,SBIC,Itacoatiara,ITACOATIARA,Amazonas,Itacoatiara,Amazonas,-58.4816666666700,-3.12638888888889,"43,00",VFR / IFR Não Precisão,,14/32,"1.515,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/08/2028,PA2018-2359,https://pergamum.anac.gov.br/arquivos/PA2018-2359.pdf,"058°28'54.0W""","03°07'35.0S"""
AM0013,Público,SWII,Ipiranga,SANTO ANTÔNIO DO IÇÁ,Amazonas,Santo Antônio do Içá,Amazonas,-69.6947222222200,-2.93361111111111,"40,00",VFR,,01/19,"1.500,00","30,00",13/R/C/W/U,Concreto,,,,,,Cadastrado,21/09/2021,PA2011-1806,https://pergamum.anac.gov.br/arquivos/PA2011-1806.pdf,"069°41'41.0W""","02°56'01.0S"""
AM0014,Público,SWOB,Fonte Boa,FONTE BOA,Amazonas,Fonte Boa,Amazonas,-66.0672222222200,-2.53361111111111,"63,00",VFR,Sem Operação,18/36,"1.270,00","27,00",6/F/C/Y/U,Asfalto,,,,,,Interditado,,,,"066°04'02.0W""","02°32'01.0S"""
AM0015,Público,SBMY,Manicoré,MANICORÉ,Amazonas,Manicoré,Amazonas,-61.2838888888900,-5.81694444444444,"53,00",VFR,,05/23,"1.265,00","30,00",12/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/09/2021,PA2011-1706,https://pergamum.anac.gov.br/arquivos/PA2011-1706.pdf,"061°17'02.0W""","05°49'01.0S"""
AM0016,Público,SDCG,Senadora Eunice Michiles,SÃO PAULO DE OLIVENÇA,Amazonas,São Paulo de Olivença,Amazonas,-68.9241666666700,-3.47055555555556,"102,00",VFR,Sem Operação,04/22,"1.200,00","23,00",6/R/B/Y/T,Concreto,,,,,,Cadastrado,29/05/2028,PA2018-1632,https://pergamum.anac.gov.br/arquivos/PA2018-1632.pdf,"068°55'27.0W""","03°28'14.0S"""
AM0017,Público,SWBC,Barcelos,BARCELOS,Amazonas,Barcelos,Amazonas,-62.9188888888900,-0.980833333333333,"34,00",VFR,Sem Operação,09/27,"1.200,00","30,00",6/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD1982-0039,https://pergamum.anac.gov.br/arquivos/PD1982-0039.pdf,"062°55'08.0W""","00°58'51.0S"""
AM0018,Público,SWBR,Borba,BORBA,Amazonas,Borba,Amazonas,-59.5977777777800,-4.40861111111111,"90,00",VFR,Sem Operação,12/30,"1.200,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,,,"059°35'52.0W""","04°24'31.0S"""
AM0019,Público,SWHT,Francisco Correa da Cruz,HUMAITÁ,Amazonas,Humaitá,Amazonas,-63.0505555555600,-7.53361111111111,"70,00",VFR,Sem Operação,14/32,"1.200,00","45,00",7/F/B/Y/U,Terra,,,,,,Cadastrado,,PD1965-0149,https://pergamum.anac.gov.br/arquivos/PD1965-0149.pdf,"063°03'02.0W""","07°32'01.0S"""
AM0020,Público,SWMW,Maués,MAUÉS,Amazonas,Maués,Amazonas,-57.7122222222200,-3.35694444444444,"21,00",VFR,Sem Operação,01/19,"1.200,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/09/2021,PA2011-1705,https://pergamum.anac.gov.br/arquivos/PA2011-1705.pdf,"057°42'44.0W""","03°21'25.0S"""
AM0022,Público,SWTP,Santa Izabel do Rio Negro,SANTA ISABEL DO RIO NEGRO,Amazonas,Santa Isabel do Rio Negro,Amazonas,-65.0338888888900,-0.416944444444444,"68,00",VFR,Sem Operação,09/27,"1.200,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,05/10/2021,PA2011-1908,https://pergamum.anac.gov.br/arquivos/PA2011-1908.pdf,"065°02'02.0W""","00°25'01.0S"""
AM0023,Público,SWYN,Apuí,APUÍ,Amazonas,Apuí,Amazonas,-59.8388888888900,-7.17222222222222,"60,00",VFR,,08/26,"1.200,00","23,00",12/F/B/Y/U,Asfalto,,,,,,Cadastrado,21/07/2030,PA2020-1745,https://pergamum.anac.gov.br/arquivos/PA2020-1745.pdf,"059°50'20.0W""","07°10'20.0S"""
AM0024,Público,SWLB,Lábrea,LÁBREA,Amazonas,Lábrea,Amazonas,-64.7694444444400,-7.27888888888889,"74,00",,,18/36,"1.200,00","30,00",7/F/C/Y/U,Asfalto,,,,,,Cadastrado,18/11/2030,PA2020-3249,https://pergamum.anac.gov.br/arquivos/PA2020-3249.pdf,"064°46'10.0W""","07°16'44.0S"""
AM0025,Privado,SBUY,Urucu,COARI,Amazonas,,,-65.3558333333300,-4.88305555555556,"64,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,09/27,"1.320,00","30,00",14/F/D/X/T,Asfalto,,,,,,,29/06/2022,PA2012-1300,https://pergamum.anac.gov.br/arquivos/PA2012-1300.pdf,"065°21'21.0W""","04°52'59.0S"""
AM0026,Privado,SDDE,Fazenda Dois Irmãos,MANICORÉ,Amazonas,,,-61.7761111111100,-8.00972222222222,"105,00",VFR,Sem Operação,01/19,"1.000,00","18,00",5600 Kg / 0.50 MPa,Cascalho,,,,,,,11/05/2031,PA2021-4930,https://pergamum.anac.gov.br/arquivos/PA2021-4930.pdf,"061°46'34.0W""","08°00'35.0S"""
AM0027,Privado,SDFF,Fazenda Fusão,LÁBREA,Amazonas,,,-67.3063888888900,-9.57,"197,00",VFR,Sem Operação,04/22,"600,00","18,00",5700 Kg / 0.50 MPa,Grama,,,,,,,27/03/2025,PA2015-0735,https://pergamum.anac.gov.br/arquivos/PA2015-0735.pdf,"067°18'23.0W""","09°34'12.0S"""
AM0028,Privado,SDGT,Agrotec,MANACAPURU,Amazonas,,,-60.5413888888900,-3.20555555555556,"32,00",VFR,Sem Operação,08/26,"1.200,00","30,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,,02/07/2028,PA2019-0481,https://pergamum.anac.gov.br/arquivos/PA2019-0481.pdf,"060°32'29.0W""","03°12'20.0S"""
AM0030,Privado,SDLR,Luiz Ribeiro Maia,TAPAUÁ,Amazonas,,,-63.1858333333300,-5.63611111111111,"51,00",VFR,Sem Operação,04/22,"1.200,00","23,00",8/F/B/Y/U,Asfalto,,,,,,,17/10/2027,PA2017-3287,https://pergamum.anac.gov.br/arquivos/PA2017-3287.pdf,"063°11'09.0W""","05°38'10.0S"""
AM0031,Privado,SIEW,Areia Branca,NOVO ARIPUANÃ,Amazonas,,,-61.0502777777800,-7.98777777777778,"96,00",VFR,Sem Operação,06/24,"1.000,00","20,00",5600 Kg / 0.50 MPa,Cascalho,,,,,,,05/12/2021,PA2016-2873,https://pergamum.anac.gov.br/arquivos/PA2016-2873.pdf,"061°03'01.0W""","07°59'16.0S"""
AM0032,Privado,SIYW,Fazenda Estrela,LÁBREA,Amazonas,,,-65.7311111111100,-9.5375,"166,00",VFR,Sem Operação,01/19,"700,00","18,00",5700 Kg / 0.50 MPa,Terra,,,,,,,20/04/2027,PA2017-1145,https://pergamum.anac.gov.br/arquivos/PA2017-1145.pdf,"065°43'52.0W""","09°32'15.0S"""
AM0033,Privado,SJCW,Jatapu,URUCARÁ,Amazonas,,,-58.5107222222200,-1.71222222222222,"26,00",VFR,Sem Operação,13/31,"1.345,00","30,00",10/F/C/Y/U,Asfalto,,,,,,,16/04/2024,PA2014-0927,https://pergamum.anac.gov.br/arquivos/PA2014-0927.pdf,"058°30'38.6W""","01°42'44.0S"""
AM0034,Privado,SJJF,Pousada do Rio Roosevelt,NOVO ARIPUANÃ,Amazonas,,,-60.9555555555600,-8.495,"102,00",VFR,Sem Operação,05/23,"700,00","18,00",4600 Kg / 0.50 MPa,Terra,,,,,,,09/09/2030,PA2020-2267,https://pergamum.anac.gov.br/arquivos/PA2020-2267.pdf,"060°57'20.0W""","08°29'42.0S"""
AM0035,Privado,SJVP,Vila Pitinga,PRESIDENTE FIGUEIREDO,Amazonas,,,-60.0838888888900,-0.799166666666667,"267,00",VFR,Sem Operação,09/27,"1.600,00","40,00",7/F/C/Y/U,Cascalho,,,,,,,29/10/2030,PA2020-3758,https://pergamum.anac.gov.br/arquivos/PA2020-3758.pdf,"060°05'02.0W""","00°47'57.0S"""
AM0036,Privado,SNDG,Aldeia,BORBA,Amazonas,,,-59.7919444444400,-6.47361111111111,"112,00",VFR,Sem Operação,18/36,"600,00","18,00",5600 Kg / 0.50 MPa,Cascalho,,,,,,,08/02/2022,PA2012-0254,https://pergamum.anac.gov.br/arquivos/PA2012-0254.pdf,"059°47'31.0W""","06°28'25.0S"""
AM0037,Privado,SNFR,Presidente Roosevelt,NOVO ARIPUANÃ,Amazonas,,,-60.9725000000000,-7.84722222222222,"93,00",VFR,Sem Operação,14/32,"950,00","18,00",5700 Kg / 0.50 MPa,Terra,,,,,,,23/08/2026,PA2016-2145,https://pergamum.anac.gov.br/arquivos/PA2016-2145.pdf,"060°58'21.0W""","07°50'50.0S"""
AM0038,Privado,SNLB,Fazenda Magdalena,LÁBREA,Amazonas,,,-65.7086111111100,-9.20305555555555,"142,00",VFR,Sem Operação,01/19,"700,00","18,00",5700 Kg / 0.50 MPa,Terra,,,,,,,21/02/2027,PA2017-0491,https://pergamum.anac.gov.br/arquivos/PA2017-0491.pdf,"065°42'31.0W""","09°12'11.0S"""
AM0039,Privado,SNRH,João Fonseca,ENVIRA,Amazonas,,,-70.0197222222200,-7.44333333333333,"140,00",VFR,Sem Operação,13/31,"1.200,00","23,00",18/F/D/X/U,Asfalto,,,,,,,05/09/2027,PA2017-2963,https://pergamum.anac.gov.br/arquivos/PA2017-2963.pdf,"070°01'11.0W""","07°26'36.0S"""
AM0040,Privado,SSKF,Fazenda Santa Fé,IRANDUBA,Amazonas,,,-60.8502777777800,-3.05694444444444,"90,00",VFR,Sem Operação,06/24,"800,00","30,00",5700 Kg / 0.50 MPa,Piçarra,,,,,,,21/02/2028,PA2018-0543,https://pergamum.anac.gov.br/arquivos/PA2018-0543.pdf,"060°51'01.0W""","03°03'25.0S"""
AM0041,Privado,SSTM,Fazenda Santo Antônio,MANICORÉ,Amazonas,,,-61.6838888888900,-7.79305555555556,"75,00",VFR,Sem Operação,18/36,"1.000,00","20,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,08/12/2027,PA2017-3964,https://pergamum.anac.gov.br/arquivos/PA2017-3964.pdf,"061°41'02.0W""","07°47'35.0S"""
AM0042,Privado,SWAK,Assunção do Içana,SÃO GABRIEL DA CACHOEIRA,Amazonas,,,-67.6005555555600,1.06638888888889,"150,00",VFR,Sem Operação,06/24,"950,00","30,00",2500 Kg / 0.50 MPa,Argila,,,,,,,12/06/2025,PA2015-1416,https://pergamum.anac.gov.br/arquivos/PA2015-1416.pdf,"067°36'02.0W""","01°03'59.0N"""
AM0043,Privado,SWAO,Anamoim,SÃO GABRIEL DA CACHOEIRA,Amazonas,,,-67.3838888888900,1.79972222222222,"102,00",VFR,Sem Operação,14/32,"1.000,00","23,00",2500 Kg / 0.50 MPa,Piçarra,,,,,,,05/06/2025,PA2015-1350,https://pergamum.anac.gov.br/arquivos/PA2015-1350.pdf,"067°23'02.0W""","01°47'59.0N"""
AM0044,Privado,SWAZ,Santo Atanázio,SÃO GABRIEL DA CACHOEIRA,Amazonas,,,-69.3005555555600,0.399722222222222,"120,00",VFR,Sem Operação,17/35,"900,00","30,00",2500 Kg / 0.50 MPa,Piçarra,,,,,,,05/06/2025,PA2015-1351,https://pergamum.anac.gov.br/arquivos/PA2015-1351.pdf,"069°18'02.0W""","00°23'59.0N"""
AM0045,Privado,SWGF,Fazenda Fortaleza,NOVO ARIPUANÃ,Amazonas,,,-61.2500000000000,-7.90777777777778,"86,00",VFR,Sem Operação,08/26,"650,00","18,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,20/07/2028,PA2018-2191,https://pergamum.anac.gov.br/arquivos/PA2018-2191.pdf,"061°15'00.0W""","07°54'28.0S"""
AM0046,Privado,SWJP,Vila Bittencourt,JAPURÁ,Amazonas,,,-69.4236111111100,-1.40388888888889,"78,00",VFR,Sem Operação,13/31,"1.500,00","30,00",14/R/C/W/U,Concreto,,,,,,,02/04/2025,PA2015-0127,https://pergamum.anac.gov.br/arquivos/PA2015-0127.pdf,"069°25'25.0W""","01°24'14.0S"""
AM0047,Privado,SWJV,Palmeiras do Javari,ATALAIA DO NORTE,Amazonas,,,-72.8055555555600,-5.13027777777778,"120,00",VFR,Sem Operação,05/23,"1.200,00","30,00",29/F/C/X/U,Asfalto,,,,,,,29/10/2025,PA2015-2865,https://pergamum.anac.gov.br/arquivos/PA2015-2865.pdf,"072°48'20.0W""","05°07'49.0S"""
AM0048,Privado,SWKU,Cucuí,SÃO GABRIEL DA CACHOEIRA,Amazonas,,,-66.8416666666700,1.12055555555556,"83,00",VFR,Sem Operação,16/34,"1.200,00","30,00",13/F/C/Y/U,Asfalto,,,,,,,20/08/2025,PA2015-1267,https://pergamum.anac.gov.br/arquivos/PA2015-1267.pdf,"066°50'30.0W""","01°07'14.0N"""
AM0049,Privado,SWMK,Maturacá,SANTA ISABEL DO RIO NEGRO,Amazonas,,,-66.1311111111100,0.616388888888889,"108,00",VFR,Sem Operação,07/25,"1.200,00","30,00",33/F/B/Y/T,Asfalto,,,,,,,17/06/2025,PA2015-1451,https://pergamum.anac.gov.br/arquivos/PA2015-1451.pdf,"066°07'52.0W""","00°36'59.0N"""
AM0050,Privado,SWNA,Novo Aripuanã,NOVO ARIPUANÃ,Amazonas,,,-60.3644444444400,-5.1175,"36,00",VFR,Sem Operação,07/25,"1.200,00","27,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,,15/09/2026,PA2016-1952,https://pergamum.anac.gov.br/arquivos/PA2016-1952.pdf,"060°21'52.0W""","05°07'03.0S"""
